District,Size m2,Rooms,Price,Price/m2
 Mokotów,42.0,2,3000.0,71.43
 Bemowo,68.0,3,2200.0,32.35
 Ochota,21.0,1,1459.0,69.48
 Bielany,20.0,1,1200.0,60.0
 Śródmieście,30.0,1,1900.0,63.33
 Bemowo,47.0,2,2199.0,46.79
 Wola,37.0,2,2160.0,58.38
 Bemowo,38.0,2,2000.0,52.63
 Mokotów,28.0,1,1350.0,48.21
 Śródmieście,30.0,1,2250.0,75.0
 Targówek,36.0,2,1400.0,38.89
 Śródmieście,42.5,2,2550.0,60.0
 Włochy,40.0,2,1800.0,45.0
 Śródmieście,36.0,2,1900.0,52.78
 Praga-Południe,60.0,3,2400.0,40.0
 Mokotów,28.0,1,1850.0,66.07
 Mokotów,75.0,4,3500.0,46.67
 Ursus,14.0,1,1045.0,74.64
 Śródmieście,37.0,2,2000.0,54.05
 Wola,30.0,1,1600.0,53.33
 Śródmieście,49.0,2,2400.0,48.98
 Śródmieście,27.0,1,1900.0,70.37
 Wola,50.0,2,1700.0,34.0
 Śródmieście,37.5,1,2100.0,56.0
 Wola,39.0,2,1800.0,46.15
 Wola,75.0,3,3400.0,45.33
 Śródmieście,37.0,2,2450.0,66.22
 Mokotów,40.0,2,2000.0,50.0
 Praga-Południe,46.0,2,1700.0,36.96
 Praga-Południe,65.0,3,2490.0,38.31
 Wola,74.0,3,3500.0,47.3
 Śródmieście,43.0,2,2400.0,55.81
 Wola,50.0,2,1600.0,32.0
 Mokotów,39.0,2,1950.0,50.0
